date,1. open,2. high,3. low,4. close,5. volume
2025-04-04 19:59:00,359.75,359.8,359.75,359.75,697.0
2025-04-04 19:58:00,359.7999,359.8,359.75,359.75,1351.0
2025-04-04 19:57:00,359.35,359.8,359.15,359.775,581.0
2025-04-04 19:56:00,359.8,359.8,359.05,359.34,243.0
2025-04-04 19:55:00,359.64,359.8,359.17,359.17,82.0
2025-04-04 19:54:00,359.4,359.78,359.05,359.45,520.0
2025-04-04 19:53:00,359.75,359.8,359.05,359.05,420.0
2025-04-04 19:52:00,359.2,359.75,359.0501,359.23,705.0
2025-04-04 19:51:00,359.345,359.63,359.05,359.38,248.0
2025-04-04 19:50:00,359.05,359.5,359.05,359.46,287.0
2025-04-04 19:49:00,359.24,359.7,359.05,359.05,542.0
2025-04-04 19:48:00,359.13,359.7,359.05,359.7,430.0
2025-04-04 19:47:00,359.09,359.25,359.05,359.05,524.0
2025-04-04 19:46:00,359.05,359.5,359.05,359.25,479.0
2025-04-04 19:45:00,359.1,359.48,359.05,359.15,246.0
2025-04-04 19:44:00,359.265,359.48,359.05,359.265,2588.0
2025-04-04 19:43:00,359.175,359.48,359.05,359.1627,247.0
2025-04-04 19:42:00,359.1,359.48,359.05,359.1,602.0
2025-04-04 19:41:00,359.05,359.75,359.05,359.05,212.0
2025-04-04 19:40:00,359.4,359.75,359.05,359.75,56.0
2025-04-04 19:39:00,359.4,359.75,359.05,359.05,1236.0
2025-04-04 19:38:00,359.01,359.84,359.0,359.1,23459.0
2025-04-04 19:37:00,359.005,359.01,359.0,359.01,434.0
2025-04-04 19:36:00,359.05,359.295,359.0,359.0,915.0
2025-04-04 19:35:00,359.295,359.59,359.0,359.17,280.0
2025-04-04 19:34:00,359.19,359.6,359.0,359.03,563.0
2025-04-04 19:33:00,359.19,359.59,359.0,359.2,722.0
2025-04-04 19:32:00,358.215,359.0,358.17,359.0,1708.0
2025-04-04 19:31:00,358.25,358.26,358.17,358.25,337.0
2025-04-04 19:30:00,358.26,358.54,358.215,358.26,68.0
2025-04-04 19:29:00,358.54,358.68,358.19,358.68,157.0
2025-04-04 19:28:00,358.5,358.8,358.17,358.8,141.0
2025-04-04 19:27:00,358.5,359.19,358.25,359.19,113.0
2025-04-04 19:26:00,358.5,359.19,358.03,358.54,72.0
2025-04-04 19:25:00,358.19,359.1888,358.19,358.61,776.0
2025-04-04 19:24:00,358.19,359.2,358.17,358.2,573.0
2025-04-04 19:23:00,359.2,359.2,358.19,358.695,57.0
2025-04-04 19:22:00,358.585,359.2,358.17,358.695,211.0
2025-04-04 19:21:00,359.0,359.0,358.17,358.17,575.0
2025-04-04 19:20:00,358.6,358.9988,358.17,358.585,754.0
2025-04-04 19:19:00,358.82,359.19,358.45,358.82,115.0
2025-04-04 19:18:00,358.4512,358.82,358.4512,358.82,60.0
2025-04-04 19:17:00,358.82,359.19,358.45,359.19,97.0
2025-04-04 19:16:00,358.575,359.19,358.45,358.79,355.0
2025-04-04 19:15:00,358.67,358.89,358.45,358.575,308.0
2025-04-04 19:14:00,358.38,358.98,358.17,358.89,93.0
2025-04-04 19:13:00,358.39,358.97,358.19,358.38,43.0
2025-04-04 19:12:00,358.57,358.97,358.17,358.17,241.0
2025-04-04 19:11:00,358.335,358.6,358.17,358.27,934.0
2025-04-04 19:10:00,358.57,358.7,358.305,358.305,656.0
2025-04-04 19:09:00,358.7,358.7,358.5,358.58,72.0
2025-04-04 19:08:00,358.79,358.8,358.5,358.6,256.0
2025-04-04 19:07:00,358.9,359.2,358.75,358.75,473.0
2025-04-04 19:06:00,359.2,359.2,358.85,358.9,157.0
2025-04-04 19:05:00,359.0,359.2,358.783,358.93,302.0
2025-04-04 19:04:00,359.03,359.03,358.99,358.99,1518.0
2025-04-04 19:03:00,359.02,359.2,359.0,359.0,459.0
2025-04-04 19:02:00,359.18,359.2,359.0,359.19,551.0
2025-04-04 19:01:00,359.19,359.2,359.0,359.1,633.0
2025-04-04 19:00:00,359.125,359.25,359.0,359.0,327.0
2025-04-04 18:59:00,359.17,359.25,359.01,359.125,81.0
2025-04-04 18:58:00,359.1,359.15,359.01,359.1,234.0
2025-04-04 18:57:00,359.135,359.2588,359.01,359.135,183.0
2025-04-04 18:56:00,359.2453,359.26,359.03,359.03,262.0
2025-04-04 18:55:00,359.14,359.27,359.01,359.135,525.0
2025-04-04 18:54:00,359.27,359.27,359.0,359.2,154.0
2025-04-04 18:53:00,359.155,359.27,359.0067,359.23,497.0
2025-04-04 18:52:00,359.5,359.55,359.27,359.27,1108.0
2025-04-04 18:51:00,359.5,359.55,359.5,359.5,1041.0
2025-04-04 18:50:00,359.55,359.59,359.5,359.54,480.0
2025-04-04 18:49:00,359.55,359.6,359.5,359.545,202.0
2025-04-04 18:48:00,359.56,359.6,359.5,359.5025,106.0
2025-04-04 18:47:00,359.55,359.6,359.5,359.56,218.0
2025-04-04 18:46:00,359.55,359.5975,359.5,359.5,215.0
2025-04-04 18:45:00,359.52,359.55,359.5,359.54,165.0
2025-04-04 18:44:00,359.52,359.6,359.5,359.6,261.0
